0.05,0.05,0.78145,-0.30345,0.02332,-0.03404,-0.38002,0.19841,-0.56564,-0.9622,-0.137,-0.1234,28.13
0.05,0.05,0.30735,-0.22026,-0.13959,-0.00777,-0.37835,0.19672,-0.56506,-0.9777,-0.0371,-0.1322,25.04
0.05,0.05,0.61235,-0.36687,0.00335,-0.04333,-0.39171,0.20311,-0.5677,-0.9306,0.0858,-0.1265,33.18
0.05,0.05,0.54395,-0.36377,0.00647,-0.04425,-0.39062,0.20283,-0.56795,-0.931,0.084,-0.1282,32.61
0.05,0.05,0.28485,-0.38477,0.04718,-0.04577,-0.39003,0.20273,-0.56767,-0.9309,0.0857,-0.1297,33.59
0.05,0.05,0.1157,-0.42219,0.18545,-0.0715,-0.37274,0.19453,-0.56042,-0.9657,0.0334,-0.1364,33.64
0.05,0.05,0.218,-0.26804,0.00266,-0.02695,-0.37804,0.19564,-0.5631,-0.9796,-0.0511,-0.1142,27.3
0.05,0.05,0.3882,-0.37006,-0.00114,-0.04049,-0.39083,0.20327,-0.56837,-0.9277,0.0897,-0.1469,31.34
0.05,0.05,0.18475,-0.4053,0.09428,-0.05275,-0.38902,0.202,-0.56666,-0.9323,0.0873,-0.1287,34.05
0.05,0.05,0.34475,-0.52049,0.29275,-0.0749,-0.374,0.19954,-0.56639,-0.9383,0.0758,-0.1123,35.47
0.05,0.05,0.45495,-0.55382,0.31112,-0.07333,-0.37525,0.19942,-0.56534,-0.9353,0.0883,-0.1084,35.93
0.05,0.05,0.23665,-0.52924,0.28704,-0.07136,-0.37445,0.19884,-0.56469,-0.9421,0.0728,-0.0967,36.37
0.05,0.05,0.7662,-0.31299,-0.02495,-0.03164,-0.39068,0.19993,-0.56322,-0.9639,-0.0829,-0.1113,29.49
0.05,0.05,0.5842,-0.34053,0.01266,-0.03766,-0.39181,0.20146,-0.56477,-0.9448,-0.0311,-0.1215,30.65
0.05,0.05,0.75805,-0.33197,-0.01321,-0.03361,-0.39177,0.20324,-0.56862,-0.9131,0.0065,-0.1292,30.7
0.05,0.05,0.869,-0.38276,0.07538,-0.04637,-0.39827,0.20063,-0.56361,-0.8845,0.0294,-0.12,35.02
0.05,0.05,0.6478,-0.34953,0.01718,-0.03806,-0.39211,0.20314,-0.56753,-0.9013,0.006,-0.1072,31.48
0.05,0.05,0.5417,-0.33823,0.00067,-0.03553,-0.39178,0.20251,-0.56691,-0.9319,-0.0074,-0.1167,30.88
0.05,0.05,0.66695,-0.41315,0.17502,-0.06375,-0.38673,0.19627,-0.55824,-0.8328,0.016,-0.1306,32.59
0.05,0.05,0.448,-0.39751,0.1462,-0.05869,-0.38029,0.19634,-0.55968,-0.9011,-0.0049,-0.1231,31.18
0.05,0.05,0.48275,-0.3764,0.00585,-0.0409,-0.39115,0.20291,-0.56801,-0.9281,0.0865,-0.1188,31.18
0.05,0.05,0.49535,-0.35974,-0.02795,-0.03669,-0.39401,0.20402,-0.56943,-0.9253,0.0914,-0.1317,32.35
0.05,0.78145,0.05,-0.29299,-0.16935,-0.00733,-0.39537,0.37669,-0.56431,-0.9664,-0.1347,-0.1625,29.35
0.05,0.78145,0.78145,-0.29674,0.01657,-0.02075,-0.38535,0.37368,-0.56317,-0.9892,-0.145,-0.1623,27.96
0.05,0.78145,0.30735,-0.2125,-0.14909,0.00717,-0.38385,0.37241,-0.56364,-1.0034,-0.1522,-0.1667,23.51
0.05,0.78145,0.61235,-0.35582,-0.00667,-0.03068,-0.39402,0.37579,-0.56306,-0.9615,-0.1325,-0.1603,31.58
0.05,0.78145,0.54395,-0.35401,-0.00232,-0.03177,-0.39367,0.37583,-0.56338,-0.9615,-0.1326,-0.1603,31.28
0.05,0.78145,0.28485,-0.37147,0.03437,-0.03284,-0.3921,0.37536,-0.56279,-0.9618,-0.1329,-0.1622,31.02
0.05,0.78145,0.1157,-0.41359,0.17799,-0.05973,-0.37766,0.36954,-0.55869,-0.9924,-0.1465,-0.1668,30.63
0.05,0.78145,0.218,-0.25912,-0.00688,-0.01288,-0.38315,0.37153,-0.5618,-1.0057,-0.1535,-0.1624,25.91
0.05,0.78145,0.3882,-0.35676,-0.00792,-0.03065,-0.39487,0.37609,-0.56261,-0.9609,-0.1328,-0.1689,30.49
0.05,0.78145,0.18475,-0.39775,0.08741,-0.03908,-0.39178,0.37465,-0.56193,-0.9632,-0.1328,-0.1654,30.57
0.05,0.78145,0.34475,-0.46383,0.27259,-0.07155,-0.37628,0.37377,-0.56544,-0.968,-0.132,-0.1844,29.84
0.05,0.78145,0.45495,-0.48435,0.28444,-0.07106,-0.3767,0.37417,-0.56509,-0.9642,-0.1303,-0.1825,27.82
0.05,0.78145,0.23665,-0.48846,0.2722,-0.06523,-0.37778,0.37336,-0.56371,-0.9698,-0.1337,-0.163,29.55
0.05,0.78145,0.7662,-0.30752,-0.03343,-0.01798,-0.39501,0.37424,-0.56034,-0.9905,-0.1492,-0.1636,28.49
0.05,0.78145,0.5842,-0.33092,0.0019,-0.02412,-0.39609,0.37518,-0.56111,-0.9635,-0.1422,-0.1613,28.93
0.05,0.78145,0.75805,-0.32572,-0.02153,-0.01929,-0.39502,0.37579,-0.56362,-0.9245,-0.1331,-0.1602,29.42
0.05,0.78145,0.869,-0.37256,0.06814,-0.03252,-0.40028,0.37371,-0.55959,-0.9005,-0.1367,-0.1632,34.43
0.05,0.78145,0.6478,-0.33943,0.0065,-0.02439,-0.39591,0.37616,-0.56293,-0.918,-0.1337,-0.1635,29.59
0.05,0.78145,0.5417,-0.33018,-0.00807,-0.02188,-0.3955,0.37531,-0.56247,-0.9512,-0.1365,-0.1604,29.13
0.05,0.78145,0.66695,-0.38693,0.15973,-0.0495,-0.39014,0.37085,-0.55733,-0.8384,-0.1505,-0.1742,30.49
0.05,0.78145,0.448,-0.36823,0.12899,-0.0462,-0.38571,0.37157,-0.55915,-0.9051,-0.1496,-0.1663,28.99
0.05,0.78145,0.48275,-0.36383,-0.00288,-0.02979,-0.39477,0.3761,-0.56255,-0.961,-0.1329,-0.1614,30.09
0.05,0.78145,0.49535,-0.35052,-0.03847,-0.02304,-0.39606,0.37612,-0.56377,-0.9579,-0.1309,-0.1692,29.97
0.05,0.30735,0.05,-0.2889,-0.17068,-0.00517,-0.36983,0.21962,-0.48723,-1.0039,0.0067,-0.1495,28.92
0.05,0.30735,0.78145,-0.29456,0.01693,-0.01862,-0.35971,0.2141,-0.48528,-1.0276,-0.1471,-0.1657,28.73
0.05,0.30735,0.30735,-0.21004,-0.14973,0.00923,-0.35807,0.21134,-0.48441,-1.0449,-0.0724,-0.1644,25.42
0.05,0.30735,0.61235,-0.35319,-0.00783,-0.02804,-0.36889,0.21952,-0.48633,-0.9957,0.0117,-0.1544,31.05
0.05,0.30735,0.54395,-0.35164,-0.00355,-0.02864,-0.36806,0.21943,-0.48657,-0.9968,0.0115,-0.1589,29.99
0.05,0.30735,0.28485,-0.36875,0.03365,-0.03059,-0.36677,0.21882,-0.48603,-0.9971,0.0114,-0.1574,32.35
0.05,0.30735,0.1157,-0.40943,0.17391,-0.05592,-0.35239,0.20937,-0.47924,-1.0329,-0.0225,-0.167,29.79
0.05,0.30735,0.218,-0.25739,-0.00469,-0.01195,-0.35693,0.21054,-0.48345,-1.0458,-0.0829,-0.1571,26.91
0.05,0.30735,0.3882,-0.35543,-0.00967,-0.02699,-0.36849,0.21997,-0.48651,-0.9946,0.0128,-0.1661,31.44
0.05,0.30735,0.18475,-0.39517,0.08743,-0.03683,-0.36649,0.21851,-0.4847,-0.9993,0.0105,-0.158,29.08
0.05,0.30735,0.34475,-0.46852,0.27266,-0.06779,-0.35106,0.21582,-0.48784,-0.9966,0.0053,-0.1615,25.85
0.05,0.30735,0.45495,-0.48102,0.2843,-0.0687,-0.35113,0.21652,-0.48808,-0.9882,0.0089,-0.176,25.83
